Secteur,trimestre,code_region,code_dep,nombre_creation,Quartile_MOY,Quartile_CV
Activites de services administratifs et de soutien,2021,27,58,58,3,4
Activites de services administratifs et de soutien,2021,27,70,104,3,4
Activites de services administratifs et de soutien,2021,27,71,138,3,4
Activites de services administratifs et de soutien,2021,27,89,99,3,4
Activites de services administratifs et de soutien,2021,27,90,39,3,4
Activites de services administratifs et de soutien,2021,28,14,134,3,4
Activites de services administratifs et de soutien,2021,28,27,130,3,4
Activites de services administratifs et de soutien,2021,28,50,133,3,4
Activites de services administratifs et de soutien,2021,28,61,82,3,4
Activites de services administratifs et de soutien,2021,28,76,208,3,4
Activites de services administratifs et de soutien,2021,32,2,122,3,4
Activites de services administratifs et de soutien,2021,32,59,403,3,4
Activites de services administratifs et de soutien,2021,32,60,210,3,4
Activites de services administratifs et de soutien,2021,32,62,264,3,4
Activites de services administratifs et de soutien,2021,32,80,145,3,4
Activites de services administratifs et de soutien,2021,32,62,1,3,4
Activites de services administratifs et de soutien,2021,44,8,61,3,4
Activites de services administratifs et de soutien,2021,44,10,65,3,4
Activites de services administratifs et de soutien,2021,44,51,150,3,4
Activites de services administratifs et de soutien,2021,44,52,48,3,4
Activites de services administratifs et de soutien,2021,44,54,158,3,4
Activites de services administratifs et de soutien,2021,44,55,21,3,4
Activites de services administratifs et de soutien,2021,44,57,185,3,4
Activites de services administratifs et de soutien,2021,44,67,220,3,4
Activites de services administratifs et de soutien,2021,44,68,145,3,4
Activites de services administratifs et de soutien,2021,44,88,104,3,4
Activites de services administratifs et de soutien,2021,44,88,1,3,4
Activites de services administratifs et de soutien,2021,52,44,304,3,4
Activites de services administratifs et de soutien,2021,52,49,118,3,4
Activites de services administratifs et de soutien,2021,52,53,56,3,4
Activites de services administratifs et de soutien,2021,52,72,75,3,4
Activites de services administratifs et de soutien,2021,52,85,161,3,4
Activites de services administratifs et de soutien,2021,52,44,1,3,4
Activites de services administratifs et de soutien,2021,53,22,125,3,4
Activites de services administratifs et de soutien,2021,53,29,155,3,4
Activites de services administratifs et de soutien,2021,53,35,203,3,4
Activites de services administratifs et de soutien,2021,53,56,160,3,4
Activites de services administratifs et de soutien,2021,75,16,129,3,4
Activites de services administratifs et de soutien,2021,75,17,214,3,4
Activites de services administratifs et de soutien,2021,75,19,89,3,4
Activites de services administratifs et de soutien,2021,75,23,27,3,4
Activites de services administratifs et de soutien,2021,75,24,166,3,4
Activites de services administratifs et de soutien,2021,75,33,480,3,4
Activites de services administratifs et de soutien,2021,75,40,158,3,4
Activites de services administratifs et de soutien,2021,75,47,95,3,4
Activites de services administratifs et de soutien,2021,75,64,176,3,4
Activites de services administratifs et de soutien,2021,75,79,67,3,4
Activites de services administratifs et de soutien,2021,75,86,92,3,4
Activites de services administratifs et de soutien,2021,75,87,75,3,4
Activites de services administratifs et de soutien,2021,75,40,1,3,4
Activites de services administratifs et de soutien,2021,76,9,118,3,4
Activites de services administratifs et de soutien,2021,76,11,189,3,4
Activites de services administratifs et de soutien,2021,76,12,67,3,4
Activites de services administratifs et de soutien,2021,76,30,305,3,4
Activites de services administratifs et de soutien,2021,76,31,406,3,4
Activites de services administratifs et de soutien,2021,76,32,116,3,4
