Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,012020,75,033,378
Activites de services administratifs et de soutien,012020,75,040,129
Activites de services administratifs et de soutien,012020,75,047,67
Activites de services administratifs et de soutien,012020,75,064,123
Activites de services administratifs et de soutien,012020,75,079,48
Activites de services administratifs et de soutien,012020,75,086,81
Activites de services administratifs et de soutien,012020,75,087,65
Activites de services administratifs et de soutien,012020,76,009,89
Activites de services administratifs et de soutien,012020,76,011,156
Activites de services administratifs et de soutien,012020,76,012,39
Activites de services administratifs et de soutien,012020,76,030,210
Activites de services administratifs et de soutien,012020,76,031,325
Activites de services administratifs et de soutien,012020,76,032,95
Activites de services administratifs et de soutien,012020,76,034,273
Activites de services administratifs et de soutien,012020,76,046,50
Activites de services administratifs et de soutien,012020,76,048,6
Activites de services administratifs et de soutien,012020,76,065,77
Activites de services administratifs et de soutien,012020,76,066,102
Activites de services administratifs et de soutien,012020,76,081,96
Activites de services administratifs et de soutien,012020,76,082,73
Activites de services administratifs et de soutien,012020,84,001,130
Activites de services administratifs et de soutien,012020,84,003,59
Activites de services administratifs et de soutien,012020,84,007,92
Activites de services administratifs et de soutien,012020,84,015,39
Activites de services administratifs et de soutien,012020,84,026,105
Activites de services administratifs et de soutien,012020,84,038,277
Activites de services administratifs et de soutien,012020,84,042,143
Activites de services administratifs et de soutien,012020,84,043,42
Activites de services administratifs et de soutien,012020,84,063,80
Activites de services administratifs et de soutien,012020,84,069,494
Activites de services administratifs et de soutien,012020,84,073,147
Activites de services administratifs et de soutien,012020,84,074,188
Activites de services administratifs et de soutien,012020,93,004,41
Activites de services administratifs et de soutien,012020,93,005,36
Activites de services administratifs et de soutien,012020,93,006,432
Activites de services administratifs et de soutien,012020,93,013,501
Activites de services administratifs et de soutien,012020,93,083,354
Activites de services administratifs et de soutien,012020,93,084,138
Activites de services administratifs et de soutien,012020,94,2A,47
Activites de services administratifs et de soutien,012020,94,2B,52
Activites de services administratifs et de soutien,012021,01,971,389
Activites de services administratifs et de soutien,012021,02,972,1072
Activites de services administratifs et de soutien,012021,03,973,85
Activites de services administratifs et de soutien,012021,04,974,246
Activites de services administratifs et de soutien,012021,06,976,30
Activites de services administratifs et de soutien,012021,11,075,1008
Activites de services administratifs et de soutien,012021,11,077,353
Activites de services administratifs et de soutien,012021,11,078,320
Activites de services administratifs et de soutien,012021,11,091,328
Activites de services administratifs et de soutien,012021,11,092,356
Activites de services administratifs et de soutien,012021,11,093,539
Activites de services administratifs et de soutien,012021,11,094,360
Activites de services administratifs et de soutien,012021,11,095,297
Activites de services administratifs et de soutien,012021,24,018,66
Activites de services administratifs et de soutien,012021,24,028,146
Activites de services administratifs et de soutien,012021,24,036,78
Activites de services administratifs et de soutien,012021,24,037,116
Activites de services administratifs et de soutien,012021,24,041,92
Activites de services administratifs et de soutien,012021,24,045,146
Activites de services administratifs et de soutien,012021,24,28,4
Activites de services administratifs et de soutien,012021,27,021,162
Activites de services administratifs et de soutien,012021,27,025,122
Activites de services administratifs et de soutien,012021,27,039,75
Activites de services administratifs et de soutien,012021,27,058,58
Activites de services administratifs et de soutien,012021,27,070,104
Activites de services administratifs et de soutien,012021,27,071,138
Activites de services administratifs et de soutien,012021,27,089,99
Activites de services administratifs et de soutien,012021,27,090,39
Activites de services administratifs et de soutien,012021,28,014,134
Activites de services administratifs et de soutien,012021,28,027,130
Activites de services administratifs et de soutien,012021,28,050,133
Activites de services administratifs et de soutien,012021,28,061,82
Activites de services administratifs et de soutien,012021,28,076,208
Activites de services administratifs et de soutien,012021,32,002,122
Activites de services administratifs et de soutien,012021,32,059,403
Activites de services administratifs et de soutien,012021,32,060,210
Activites de services administratifs et de soutien,012021,32,062,264
Activites de services administratifs et de soutien,012021,32,080,145
Activites de services administratifs et de soutien,012021,32,62,1
Activites de services administratifs et de soutien,012021,44,008,61
Activites de services administratifs et de soutien,012021,44,010,65
Activites de services administratifs et de soutien,012021,44,051,150
Activites de services administratifs et de soutien,012021,44,052,48
Activites de services administratifs et de soutien,012021,44,054,158
Activites de services administratifs et de soutien,012021,44,055,21
Activites de services administratifs et de soutien,012021,44,057,185
Activites de services administratifs et de soutien,012021,44,067,220
Activites de services administratifs et de soutien,012021,44,068,145
Activites de services administratifs et de soutien,012021,44,088,104
Activites de services administratifs et de soutien,012021,44,88,1
Activites de services administratifs et de soutien,012021,52,044,304
Activites de services administratifs et de soutien,012021,52,049,118
Activites de services administratifs et de soutien,012021,52,053,56
Activites de services administratifs et de soutien,012021,52,072,75
Activites de services administratifs et de soutien,012021,52,085,161
Activites de services administratifs et de soutien,012021,52,44,1
Activites de services administratifs et de soutien,012021,53,022,125
Activites de services administratifs et de soutien,012021,53,029,155
Activites de services administratifs et de soutien,012021,53,035,203
Activites de services administratifs et de soutien,012021,53,056,160
Activites de services administratifs et de soutien,012021,75,016,129
Activites de services administratifs et de soutien,012021,75,017,214
Activites de services administratifs et de soutien,012021,75,019,89
Activites de services administratifs et de soutien,012021,75,023,27
Activites de services administratifs et de soutien,012021,75,024,166
Activites de services administratifs et de soutien,012021,75,033,480
Activites de services administratifs et de soutien,012021,75,040,158
Activites de services administratifs et de soutien,012021,75,047,95
Activites de services administratifs et de soutien,012021,75,064,176
Activites de services administratifs et de soutien,012021,75,079,67
Activites de services administratifs et de soutien,012021,75,086,92
Activites de services administratifs et de soutien,012021,75,087,75
Activites de services administratifs et de soutien,012021,75,40,1
Activites de services administratifs et de soutien,012021,76,009,118
Activites de services administratifs et de soutien,012021,76,011,189
Activites de services administratifs et de soutien,012021,76,012,67
Activites de services administratifs et de soutien,012021,76,030,305
Activites de services administratifs et de soutien,012021,76,031,406
Activites de services administratifs et de soutien,012021,76,032,116
Activites de services administratifs et de soutien,012021,76,034,299
Activites de services administratifs et de soutien,012021,76,046,55
Activites de services administratifs et de soutien,012021,76,048,15
Activites de services administratifs et de soutien,012021,76,065,110
Activites de services administratifs et de soutien,012021,76,066,140
Activites de services administratifs et de soutien,012021,76,081,89
Activites de services administratifs et de soutien,012021,76,082,83
Activites de services administratifs et de soutien,012021,84,001,162
Activites de services administratifs et de soutien,012021,84,003,95
Activites de services administratifs et de soutien,012021,84,007,102
Activites de services administratifs et de soutien,012021,84,015,63
Activites de services administratifs et de soutien,012021,84,026,107
Activites de services administratifs et de soutien,012021,84,038,357
Activites de services administratifs et de soutien,012021,84,042,198
Activites de services administratifs et de soutien,012021,84,043,72
Activites de services administratifs et de soutien,012021,84,063,141
Activites de services administratifs et de soutien,012021,84,069,475
Activites de services administratifs et de soutien,012021,84,073,174
Activites de services administratifs et de soutien,012021,84,074,223
